"Gene","degree","GeneName"
"N900_RS18265",77,"malate synthase"
"N900_RS18315",77,"VC_A0969_BLAST"
"N900_RS18495",77,"organic hydroperoxide resistance protein"
"N900_RS19135",77,"N900_RS19135"
"N900_RS19725",77,"N900_RS19725"
"N900_RS00420",76,"rdsA_BLAST"
"N900_RS00705",76,"Pseudogene_N900_RS00705"
"N900_RS01775",76,"outer membrane protein assembly factor"
"N900_RS02150",76,"VC0395_A2053_BLAST"
"N900_RS02205",76,"rseB"
"N900_RS03290",76,"class I SAM-dependent methyltransferase_3"
"N900_RS03625",76,"N900_RS03625"
"N900_RS03745",76,"flaI"
"N900_RS04005",76,"sucD"
"N900_RS04105",76,"cheB2"
"N900_RS04920",76,"ycfP"
"N900_RS07060",76,"N900_RS07060"
"N900_RS07445",76,"N900_RS07445"
"N900_RS07850",76,"chbA"
"N900_RS08610",76,"N900_RS08610"
"N900_RS09100",76,"moaB"
"N900_RS09525",76,"vpsN"
"N900_RS09790",76,"kfrA_2"
"N900_RS10930",76,"XRE family transcriptional regulator_7"
"N900_RS11155",76,"N900_RS11155"
"N900_RS11190",76,"N900_RS11190"
"N900_RS11295",76,"umuC"
"N900_RS12260",76,"pilT_2"
"N900_RS13665",76,"N900_RS13665"
"N900_RS13855",76,"TetR/AcrR family transcriptional regulator_3"
"N900_RS14380",76,"1,4-alpha-glucan-branching protein"
"N900_RS15770",76,"nitrate reductase"
"N900_RS17275",76,"glpA"
"N900_RS18070",76,"hmuT"
"N900_RS18345",76,"ATP-binding protein_2"
"N900_RS19225",76,"N900_RS19225"
"N900_RS19385",76,"Pseudogene_N900_RS19385"
"N900_RS01370",75,"PilP"
"N900_RS01720",75,"cysD"
"N900_RS02395",75,"pilD"
"N900_RS03140",75,"nusB"
"N900_RS04910",75,"lpoB"
"N900_RS05315",75,"N900_RS05315"
"N900_RS05635",75,"fadE_2"
"N900_RS06365",75,"N900_RS06365"
"N900_RS07175",75,"potC"
"N900_RS09125",75,"N900_RS09125"
"N900_RS09330",75,"qmcA"
"N900_RS09700",75,"tetratricopeptide repeat protein_2"
"N900_RS09770",75,"yqcC"
"N900_RS10370",75,"membrane protein_4"
"N900_RS10545",75,"ppx"
"N900_RS10800",75,"rppH"
"N900_RS10815",75,"NADP(H)-dependent aldo-keto reductase"
"N900_RS10895",75,"eexS"
"N900_RS11165",75,"pglz"
"N900_RS11250",75,"aph(6)-Id"
"N900_RS11320",75,"DNA mismatch repair protein"
"N900_RS14220",75,"gltS"
"N900_RS14295",75,"lpp"
"N900_RS14490",75,"HAD family phosphatase"
"N900_RS15140",75,"ulaE"
"N900_RS15440",75,"HNH endonuclease_1"
"N900_RS15725",75,"N900_RS15725"
"N900_RS15810",75,"N900_RS15810"
"N900_RS16360",75,"fatty acid cis/trans isomerase"
"N900_RS18350",75,"N900_RS18350"
"N900_RS18975",75,"tmca"
"N900_RS19100",75,"N900_RS19100"
"N900_RS19435",75,"N900_RS19435"
"N900_RS00090",74,"avtA"
"N900_RS00505",74,"fliL_2"
"N900_RS00840",74,"N900_RS00840"
"N900_RS00930",74,"epsK"
"N900_RS01285",74,"gpsA"
"N900_RS01490",74,"kefB"
"N900_RS01690",74,"eamA_6"
"N900_RS02000",74,"holC"
"N900_RS02600",74,"RNA-directed DNA polymerase"
"N900_RS02620",74,"btuF"
"N900_RS03080",74,"pepD"
"N900_RS03390",74,"ompA_1"
"N900_RS03395",74,"Fe3+-citrate ABC transporter substrate-binding protein"
"N900_RS04310",74,"fabH1"
"N900_RS05620",74,"N900_RS05620"
"N900_RS06270",74,"ABC transporter permease_3"
"N900_RS06690",74,"tungsten ABC transporter substrate-binding protein"
"N900_RS07460",74,"queE"
"N900_RS08085",74,"VC0395_A0854_BLAST"
"N900_RS08175",74,"pgsA"
"N900_RS09400",74,"miaB"
"N900_RS09575",74,"glycosyltransferase family 1 protein"
"N900_RS09740",74,"motb"
"N900_RS10385",74,"rodZ"
"N900_RS11150",74,"abortive infection protein"
"N900_RS11315",74,"intS"
"N900_RS11570",74,"N-acetylglucosamine kinase"
"N900_RS13315",74,"hupA"
"N900_RS14825",74,"N900_RS14825"
"N900_RS14885",74,"arfA"
"N900_RS14990",74,"N900_RS14990"
"N900_RS15105",74,"N900_RS15105"
"N900_RS15415",74,"N900_RS15415"
"N900_RS16125",74,"N900_RS16125"
"N900_RS17540",74,"gsk_2"
"N900_RS17730",74,"N900_RS17730"
"N900_RS18815",74,"PAS domain S-box protein_2"
"N900_RS19090",74,"N900_RS19090"
"N900_RS00670",73,"ytpA"
"N900_RS00695",73,"N900_RS00695"
"N900_RS01805",73,"mpl"
"N900_RS02340",73,"hldE"
"N900_RS02765",73,"deoA"
"N900_RS03460",73,"flgC"
"N900_RS03520",73,"flaC"
"N900_RS03785",73,"fliH"
"N900_RS03815",73,"fliN"
"N900_RS04010",73,"znuB"
"N900_RS04600",73,"nlpE_1"
"N900_RS04930",73,"rimL"
"N900_RS05175",73,"tolQ"
"N900_RS05440",73,"N-acetylmannosamine-6-phosphate 2-epimerase"
"N900_RS05650",73,"bpt"
"N900_RS05775",73,"N900_RS05775"
"N900_RS05820",73,"ydcf"
"N900_RS09250",73,"nagA_1"
"N900_RS09445",73,"rsfS"
"N900_RS09605",73,"vpsC"
"N900_RS09750",73,"xseB"
"N900_RS10205",73,"citC"
"N900_RS10975",73,"N900_RS10975"
"N900_RS11100",73,"TraB"
"N900_RS13270",73,"methyl-accepting chemotaxis protein_12"
"N900_RS13340",73,"VC_0268"
"N900_RS14055",73,"yeeN"
"N900_RS14105",73,"tssI_3"
"N900_RS14950",73,"N900_RS14950"
"N900_RS16350",73,"N900_RS16350"
"N900_RS16605",73,"phnW"
"N900_RS16985",73,"HI_0131_BLAST"
"N900_RS17015",73,"fabG_2"
"N900_RS17030",73,"N900_RS17030"
"N900_RS17140",73,"guanylate cyclase"
"N900_RS17195",73,"N900_RS17195"
"N900_RS17825",73,"bdlA_2"
"N900_RS17985",73,"zwf"
"N900_RS18075",73,"hmuU"
"N900_RS19380",73,"N900_RS19380"
"N900_RS00650",72,"N900_RS00650"
"N900_RS00950",72,"cysQ"
"N900_RS01290",72,"cysE"
"N900_RS01705",72,"Crp/Fnr family transcriptional regulator_1"
"N900_RS01735",72,"N900_RS01735"
"N900_RS01795",72,"fbp"
"N900_RS01895",72,"calcium/sodium antiporter"
"N900_RS01930",72,"ibaG"
"N900_RS02985",72,"bola"
"N900_RS03150",72,"pgpA"
"N900_RS03680",72,"N900_RS03680"
"N900_RS04505",72,"rrtA"
"N900_RS04510",72,"N900_RS04510"
"N900_RS04545",72,"menB"
"N900_RS05040",72,"pflB"
"N900_RS06880",72,"fabA"
"N900_RS07180",72,"potD_1"
"N900_RS07210",72,"N900_RS07210"
"N900_RS07310",72,"cheY2"
"N900_RS07825",72,"mdoG"
"N900_RS08570",72,"hisD"
"N900_RS09350",72,"chiP"
"N900_RS09420",72,"lnt"
"N900_RS09620",72,"low molecular weight phosphotyrosine protein phosphatase_1"
"N900_RS09815",72,"tsaA"
"N900_RS10075",72,"N900_RS10075"
"N900_RS11245",72,"aph(3'')-Ib"
"N900_RS11290",72,"Pseudogene_N900_RS11290"
"N900_RS11585",72,"pgm_2"
"N900_RS12035",72,"catD"
"N900_RS12185",72,"epd"
"N900_RS12395",72,"apaH"
"N900_RS13710",72,"rlmj"
"N900_RS13750",72,"dncV"
"N900_RS14150",72,"chiA"
"N900_RS15195",72,"N900_RS15195"
"N900_RS15300",72,"gcvH"
"N900_RS15600",72,"N900_RS15600"
"N900_RS15905",72,"N900_RS15905"
"N900_RS16175",72,"nrdD"
"N900_RS16465",72,"DamX-related protein"
"N900_RS16915",72,"N900_RS16915"
"N900_RS17465",72,"sensor domain-containing phosphodiesterase"
"N900_RS17510",72,"N900_RS17510"
"N900_RS18000",72,"N900_RS18000"
"N900_RS19805",72,"N900_RS19805"
"N900_RS02145",71,"zapa"
"N900_RS02615",71,"yadS"
"N900_RS02790",71,"pilz_1"
"N900_RS02920",71,"tcdA"
"N900_RS03720",71,"flaE"
"N900_RS03755",71,"flrA"
"N900_RS03820",71,"fliO"
"N900_RS04190",71,"sodB"
"N900_RS04335",71,"pabC"
"N900_RS04365",71,"sodium-dependent transporter_1"
"N900_RS04525",71,"alaA"
"N900_RS04675",71,"folD"
"N900_RS04700",71,"acyl-CoA thioesterase"
"N900_RS05020",71,"membrane protein_3"
"N900_RS05070",71,"xthA"
"N900_RS05530",71,"MotB"
"N900_RS06150",71,"norM_2"
"N900_RS06265",71,"ABC transporter permease_4"
"N900_RS06545",71,"ugpc"
"N900_RS06730",71,"molecular chaperone"
"N900_RS06780",71,"N900_RS06780"
"N900_RS07065",71,"peptidase domain-containing ABC transporter"
"N900_RS07145",71,"ttcA"
"N900_RS07795",71,"VC_1295_BLAST"
"N900_RS07955",71,"N900_RS07955"
"N900_RS08095",71,"cdd"
"N900_RS08125",71,"N900_RS08125"
"N900_RS08590",71,"gsk_1"
"N900_RS09545",71,"N900_RS09545"
"N900_RS11210",71,"umuD"
"N900_RS11215",71,"umuC_1"
"N900_RS11275",71,"IS91 family transposase_1"
"N900_RS11485",71,"mepM_1"
"N900_RS11930",71,"recX"
"N900_RS13225",71,"fis"
"N900_RS13335",71,"manA"
"N900_RS13405",71,"wbeN"
"N900_RS13610",71,"yicc"
"N900_RS14355",71,"phosphate ABC transporter ATP-binding protein"
"N900_RS14675",71,"N900_RS14675"
"N900_RS15250",71,"nimR_1"
"N900_RS16410",71,"transcriptional regulator_4"
"N900_RS16615",71,"phnX"
"N900_RS17215",71,"flagellar brake protein"
"N900_RS17485",71,"yjdF"
