"Gene","degree","GeneName"
"N900_RS01095",67,"cpxA"
"N900_RS02115",67,"long-chain fatty acid--CoA ligase"
"N900_RS02250",67,"N900_RS02250"
"N900_RS02825",67,"galR"
"N900_RS03260",67,"cytochrome c_2"
"N900_RS03420",67,"flgO"
"N900_RS03610",67,"ybaK"
"N900_RS03900",67,"asd2"
"N900_RS03975",67,"sdhD"
"N900_RS03980",67,"sdhA"
"N900_RS04225",67,"VC0395_A1625_BLAST"
"N900_RS04935",67,"hemolysin_2"
"N900_RS04970",67,"N900_RS04970"
"N900_RS05045",67,"N900_RS05045"
"N900_RS05340",67,"IclR family transcriptional regulator"
"N900_RS05625",67,"1-aminocyclopropane-1-carboxylate deaminase/D-cysteine desulfhydrase"
"N900_RS06010",67,"ybhS"
"N900_RS06510",67,"katG"
"N900_RS06615",67,"VC_1539_BLAST"
"N900_RS06655",67,"N900_RS06655"
"N900_RS06765",67,"VC0395_A1115_BLAST"
"N900_RS07080",67,"rcsC_3"
"N900_RS07300",67,"N900_RS07300"
"N900_RS07325",67,"cheY1"
"N900_RS07670",67,"carR"
"N900_RS07725",67,"rimJ"
"N900_RS07810",67,"N900_RS07810"
"N900_RS08190",67,"polB"
"N900_RS08825",67,"sensor histidine kinase_3"
"N900_RS09075",67,"inosine monophosphate dehydrogenase-related protein"
"N900_RS09080",67,"N900_RS09080"
"N900_RS09655",67,"treB"
"N900_RS10615",67,"clpB"
"N900_RS11005",67,"ssb_2"
"N900_RS11080",67,"N900_RS11080"
"N900_RS11520",67,"ydiK"
"N900_RS12020",67,"folK_1"
"N900_RS12320",67,"mltC"
"N900_RS12545",67,"type II secretion system protein"
"N900_RS12750",67,"yjbQ_BLAST"
"N900_RS13295",67,"N900_RS13295"
"N900_RS13585",67,"slmA"
"N900_RS13705",67,"prlC"
"N900_RS13875",67,"ilvC"
"N900_RS14640",67,"laci_2"
"N900_RS15295",67,"gcvP"
"N900_RS16190",67,"ATP-dependent zinc protease_2"
"N900_RS16590",67,"putative 2-aminoethylphosphonate ABC transporter permease subunit"
"N900_RS16710",67,"prepilin peptidase_3"
"N900_RS17340",67,"artI_1"
"N900_RS17530",67,"N900_RS17530"
"N900_RS17755",67,"yehT_2"
"N900_RS17980",67,"metal-dependent phosphohydrolase"
"N900_RS18705",67,"N900_RS18705"
"N900_RS00195",66,"yqfA"
"N900_RS00480",66,"lexA"
"N900_RS00530",66,"tatd"
"N900_RS01080",66,"fxsA"
"N900_RS01980",66,"rapA"
"N900_RS02175",66,"sdhE"
"N900_RS02180",66,"cptA"
"N900_RS02385",66,"zapD"
"N900_RS02870",66,"cysL_1"
"N900_RS03480",66,"flgG"
"N900_RS03795",66,"fliJ"
"N900_RS03845",66,"smrB"
"N900_RS04030",66,"ferrous iron transport protein A"
"N900_RS04095",66,"cheZ"
"N900_RS04135",66,"ccmB"
"N900_RS04145",66,"ccmD"
"N900_RS04745",66,"TRAP transporter small permease"
"N900_RS04875",66,"nhaB"
"N900_RS05010",66,"yeaG_BLAST"
"N900_RS05115",66,"cdgJ_2"
"N900_RS05445",66,"N900_RS05445"
"N900_RS05460",66,"siaM"
"N900_RS06350",66,"galK"
"N900_RS07040",66,"ctxA"
"N900_RS07130",66,"N900_RS07130"
"N900_RS07280",66,"mlp16"
"N900_RS07390",66,"N900_RS07390"
"N900_RS07450",66,"N900_RS07450"
"N900_RS07705",66,"methyl-accepting chemotaxis protein_14"
"N900_RS08305",66,"maeA"
"N900_RS08365",66,"N900_RS08365"
"N900_RS10260",66,"acp"
"N900_RS10660",66,"trpR"
"N900_RS11270",66,"N900_RS11270"
"N900_RS11750",66,"petB"
"N900_RS11820",66,"ypjd"
"N900_RS12105",66,"marr_1"
"N900_RS13350",66,"VC_0266"
"N900_RS14230",66,"N-acetyltransferase_7"
"N900_RS14515",66,"tssB"
"N900_RS15115",66,"N900_RS15115"
"N900_RS16220",66,"sbcC_BLAST"
"N900_RS16435",66,"N900_RS16435"
"N900_RS16630",66,"N900_RS16630"
"N900_RS16840",66,"ccpA"
"N900_RS17370",66,"ltaE"
"N900_RS17455",66,"tesA"
"N900_RS19235",66,"N900_RS19235"
"N900_RS19325",66,"N900_RS19325"
"N900_RS19880",66,"Pseudogene_N900_RS19880"
"N900_RS00045",65,"patM"
"N900_RS00120",65,"N900_RS00120"
"N900_RS00915",65,"epsH"
"N900_RS01085",65,"trmL"
"N900_RS01255",65,"frdC"
"N900_RS01265",65,"frdA"
"N900_RS01295",65,"PadR family transcriptional regulator"
"N900_RS01885",65,"kdsC"
"N900_RS03590",65,"sirB2"
"N900_RS03760",65,"flrB"
"N900_RS04330",65,"fabF"
"N900_RS05135",65,"ruvC"
"N900_RS05195",65,"pal_1"
"N900_RS05585",65,"mechanosensitive ion channel protein MscS"
"N900_RS05745",65,"mukB"
"N900_RS05780",65,"N900_RS05780"
"N900_RS05815",65,"N900_RS05815"
"N900_RS06155",65,"lolD_2"
"N900_RS06515",65,"bglA"
"N900_RS07090",65,"N900_RS07090"
"N900_RS07525",65,"PGdx_2"
"N900_RS07995",65,"(Fe-S)-binding protein"
"N900_RS08090",65,"yohK_2"
"N900_RS08650",65,"htpX"
"N900_RS09090",65,"moaD"
"N900_RS09345",65,"N900_RS09345"
"N900_RS09930",65,"recN"
"N900_RS10390",65,"rlmn"
"N900_RS10505",65,"ahpC"
"N900_RS10840",65,"brnQ"
"N900_RS11185",65,"N900_RS11185"
"N900_RS11470",65,"ompU"
"N900_RS11525",65,"rsmC"
"N900_RS11610",65,"glnK"
"N900_RS12070",65,"intA_4"
"N900_RS12300",65,"glsA2"
"N900_RS12620",65,"malT_1"
"N900_RS12860",65,"hflC"
"N900_RS12865",65,"hflK"
"N900_RS13240",65,"gntK"
"N900_RS13520",65,"wavD"
"N900_RS14065",65,"pctC_2"
"N900_RS14205",65,"Sco1-related protein"
"N900_RS14390",65,"N900_RS14390"
"N900_RS14705",65,"dctM_2"
"N900_RS15025",65,"N900_RS15025"
"N900_RS15245",65,"N900_RS15245"
"N900_RS16150",65,"N-acetyltransferase_6"
"N900_RS16235",65,"tellurium resistance protein"
"N900_RS16550",65,"ABC transporter substrate-binding protein_9"
"N900_RS17150",65,"N900_RS17150"
"N900_RS17190",65,"N900_RS17190"
"N900_RS17240",65,"N900_RS17240"
"N900_RS17425",65,"pxpB"
"N900_RS17595",65,"Bacterial leucyl aminopeptidase_BLAST"
"N900_RS18260",65,"vdcA"
"N900_RS18330",65,"MFS transporter_2"
"N900_RS18700",65,"yccf"
"N900_RS18755",65,"speF"
"N900_RS18825",65,"HlyD family type I secretion periplasmic adaptor subunit_2"
"N900_RS19060",65,"N900_RS19060"
"N900_RS00470",64,"dinF"
"N900_RS00520",64,"glpE"
"N900_RS00665",64,"yigL"
"N900_RS00875",64,"pckA"
"N900_RS01145",64,"metJ"
"N900_RS01250",64,"frdD"
"N900_RS01430",64,"trpG_1"
"N900_RS01500",64,"slyD"
"N900_RS01905",64,"mlaF"
"N900_RS01910",64,"mlaE"
"N900_RS02110",64,"leuO"
"N900_RS02295",64,"cca"
"N900_RS02735",64,"alsT_1"
"N900_RS02815",64,"chrA"
"N900_RS02885",64,"recB"
"N900_RS03025",64,"nqrM_1"
"N900_RS03455",64,"flgB"
"N900_RS03830",64,"fliQ"
"N900_RS03850",64,"prmB"
"N900_RS04275",64,"N900_RS04275"
"N900_RS04285",64,"rluC"
"N900_RS04395",64,"N900_RS04395"
"N900_RS04720",64,"bifunctional diguanylate cyclase/phosphodiesterase_2"
"N900_RS04845",64,"cysB"
"N900_RS05715",64,"torD"
"N900_RS06215",64,"N900_RS06215"
"N900_RS06310",64,"N900_RS06310"
"N900_RS06335",64,"ABC transporter substrate-binding protein_7"
"N900_RS06435",64,"almG"
"N900_RS06525",64,"rutC"
"N900_RS07115",64,"ccoH"
"N900_RS07590",64,"prpC"
"N900_RS07745",64,"N900_RS07745"
"N900_RS07800",64,"N900_RS07800"
"N900_RS08070",64,"msrB_1"
"N900_RS08275",64,"yiaD"
"N900_RS09235",64,"Pseudogene_N900_RS09235"
"N900_RS09270",64,"rfaH"
"N900_RS09425",64,"zinc ribbon-containing protein"
"N900_RS09695",64,"queF"
"N900_RS10535",64,"ABC transporter permease subunit"
"N900_RS10670",64,"ettA"
"N900_RS10820",64,"N900_RS10820"
"N900_RS10890",64,"flhC"
"N900_RS10950",64,"N900_RS10950"
"N900_RS11000",64,"bet"
"N900_RS11040",64,"N900_RS11040"
"N900_RS11175",64,"brxC"
"N900_RS11605",64,"amtB"
"N900_RS11625",64,"N900_RS11625"
"N900_RS11855",64,"gcdB"
"N900_RS11865",64,"oadG_2"
"N900_RS12100",64,"N900_RS12100"
"N900_RS13285",64,"cadc"
"N900_RS13700",64,"uvrD"
"N900_RS13715",64,"gorA"
"N900_RS14225",64,"VC_A0042_BLAST"
"N900_RS14290",64,"ycfS"
"N900_RS14775",64,"tnaA"
"N900_RS14940",64,"guaC"
"N900_RS14960",64,"N900_RS14960"
"N900_RS15090",64,"vctC"
"N900_RS15155",64,"ulaF"
"N900_RS15175",64,"ulaG"
"N900_RS15480",64,"blc_1"
"N900_RS15500",64,"N900_RS15500"
"N900_RS15665",64,"N900_RS15665"
"N900_RS16295",64,"N900_RS16295"
"N900_RS16320",64,"Inner membrane protein YcdZ_BLAST"
"N900_RS16400",64,"N900_RS16400"
"N900_RS17695",64,"drug/metabolite DMT transporter permease"
"N900_RS17700",64,"maa"
"N900_RS17820",64,"vola"
"N900_RS18045",64,"hutX"
"N900_RS18285",64,"AlkB"
"N900_RS18340",64,"methyl-accepting chemotaxis protein_25"
"N900_RS18760",64,"N900_RS18760"
"N900_RS19220",64,"N900_RS19220"
"N900_RS19285",64,"glyoxalase_1"
"N900_RS19565",64,"N900_RS19565"
"N900_RS19855",64,"Pseudogene_N900_RS19855"
"N900_RS00180",63,"yihD"
"N900_RS00365",63,"mdtL_1"
"N900_RS00370",63,"N900_RS00370"
"N900_RS00485",63,"plsB"
"N900_RS01090",63,"superoxide dismutase"
"N900_RS01245",63,"efp"
"N900_RS01855",63,"ptsN"
"N900_RS02760",63,"deoC"
"N900_RS03495",63,"flgJ"
"N900_RS03700",63,"N900_RS03700"
"N900_RS03835",63,"fliR"
"N900_RS03865",63,"UPF0126 membrane protein HI_1240_BLAST"
"N900_RS04130",63,"ccmA"
"N900_RS04305",63,"plsX"
"N900_RS04625",63,"lytic murein transglycosylase"
"N900_RS05225",63,"manA_2"
"N900_RS05230",63,"PTS fructose transporter subunit IIC_1"
"N900_RS05455",63,"siaQ"
"N900_RS05795",63,"N900_RS05795"
"N900_RS05920",63,"pspA"
"N900_RS06385",63,"LysR family transcriptional regulator_6"
"N900_RS06430",63,"almF"
"N900_RS06455",63,"fumC"
"N900_RS06610",63,"CPXCG motif-containing cysteine-rich protein"
"N900_RS07020",63,"colonization factor"
"N900_RS07350",63,"lysr_1"
"N900_RS07685",63,"N900_RS07685"
"N900_RS07690",63,"hupR1_1"
"N900_RS08725",63,"ABC transporter substrate-binding protein_6"
"N900_RS09040",63,"N900_RS09040"
"N900_RS09935",63,"bamE"
"N900_RS10325",63,"satP"
"N900_RS10510",63,"cutc"
"N900_RS10955",63,"primase"
"N900_RS11130",63,"N900_RS11130"
"N900_RS11255",63,"IS91 family transposase_2"
"N900_RS11360",63,"ubiU"
"N900_RS11385",63,"pnp"
"N900_RS11705",63,"luxR_2"
"N900_RS12305",63,"trmB"
"N900_RS12485",63,"arcA_1"
"N900_RS13145",63,"N900_RS13145"
"N900_RS13345",63,"VC_0267"
"N900_RS13740",63,"cap3_BLAST"
"N900_RS13880",63,"ilvY"
"N900_RS14010",63,"parb"
"N900_RS14370",63,"N900_RS14370"
"N900_RS14650",63,"Nicotinamide riboside transporter PnuC_BLAST"
"N900_RS15050",63,"hlyC"
"N900_RS15435",63,"VC_A0308_BLAST"
"N900_RS15785",63,"yiaC"
"N900_RS16090",63,"Pseudogene_N900_RS16090"
"N900_RS16200",63,"pfkB"
"N900_RS16290",63,"N900_RS16290"
"N900_RS16635",63,"elbB"
"N900_RS17255",63,"membrane protein_8"
"N900_RS17405",63,"pctC_3"
"N900_RS17615",63,"mgtE_3"
"N900_RS17795",63,"ydhF"
"N900_RS17900",63,"N900_RS17900"
"N900_RS18525",63,"nhad"
"N900_RS18640",63,"fliY"
"N900_RS18900",63,"cheA3"
"N900_RS19010",63,"SOS-response transcriptional repressor"
"N900_RS19530",63,"N900_RS19530"
"N900_RS19775",63,"pulA"
"N900_RS19820",63,"budA"
"N900_RS00430",62,"rmuC"
"N900_RS00720",62,"rsmD"
"N900_RS01015",62,"rpoZ"
"N900_RS01220",62,"transcriptional regulator_1"
"N900_RS01715",62,"cobA"
"N900_RS01825",62,"thiQ"
"N900_RS01835",62,"pmbA"
"N900_RS01945",62,"rida"
"N900_RS01990",62,"hepA"
"N900_RS02555",62,"mutT"
"N900_RS02880",62,"recC"
"N900_RS03675",62,"bamC"
"N900_RS03855",62,"N900_RS03855"
"N900_RS04085",62,"flia"
"N900_RS04170",62,"ccmI"
"N900_RS04255",62,"adhE"
"N900_RS04485",62,"menH_1"
"N900_RS04500",62,"peptidase_1"
"N900_RS04570",62,"methyl-accepting chemotaxis protein_1"
"N900_RS04645",62,"cytochrome c_1"
"N900_RS04770",62,"tig"
"N900_RS05145",62,"ruvB"
"N900_RS05190",62,"tolB"
"N900_RS05785",62,"metR"
"N900_RS05855",62,"torA"
"N900_RS06080",62,"N900_RS06080"
"N900_RS06180",62,"VC_1624_BLAST"
"N900_RS06280",62,"N900_RS06280"
"N900_RS06320",62,"sensor domain-containing diguanylate cyclase_3"
"N900_RS06635",62,"N900_RS06635"
"N900_RS06735",62,"transcriptional initiation protein Tat"
"N900_RS06835",62,"N900_RS06835"
"N900_RS07235",62,"hcp-2_D1"
"N900_RS08065",62,"cobT"
"N900_RS08100",62,"AEC family transporter_1"
"N900_RS08620",62,"N900_RS08620"
"N900_RS08630",62,"N900_RS08630"
"N900_RS08840",62,"N900_RS08840"
"N900_RS08960",62,"ybaN"
"N900_RS09175",62,"gloA"
"N900_RS09255",62,"nagC"
"N900_RS09275",62,"dtpA"
"N900_RS09540",62,"N900_RS09540"
"N900_RS09795",62,"VC_0881_BLAST"
"N900_RS10050",62,"tcpA"
"N900_RS10345",62,"xseA"
"N900_RS10655",62,"yjjX"
"N900_RS10850",62,"srmB"
"N900_RS11730",62,"hemolysin, putative"
"N900_RS11775",62,"zape"
"N900_RS12590",62,"mshL"
"N900_RS12640",62,"pucG"
"N900_RS12655",62,"nhaP"
"N900_RS12845",62,"N900_RS12845"
"N900_RS12870",62,"hflX"
"N900_RS13745",62,"cap2_BLAST"
"N900_RS14135",62,"AEC family transporter_2"
"N900_RS14405",62,"soxR"
"N900_RS14935",62,"N900_RS14935"
"N900_RS15205",62,"N900_RS15205"
"N900_RS15375",62,"N900_RS15375"
"N900_RS16430",62,"vxrB"
"N900_RS16625",62,"yjjG"
"N900_RS16690",62,"tal"
"N900_RS16820",62,"N900_RS16820"
"N900_RS16850",62,"aminoimidazole riboside kinase"
"N900_RS16960",62,"N900_RS16960"
"N900_RS17320",62,"N900_RS17320"
"N900_RS17845",62,"N900_RS17845"
"N900_RS17860",62,"cytochrome bd oxidase subunit I"
"N900_RS17865",62,"cydB_2"
"N900_RS18155",62,"cspV_3"
"N900_RS18175",62,"eamA_8"
"N900_RS18830",62,"transglutaminase-like cysteine peptidase"
"N900_RS19070",62,"Pseudogene_N900_RS19070"
"N900_RS19085",62,"N900_RS19085"
"N900_RS19310",62,"N900_RS19310"
"N900_RS19580",62,"N900_RS19580"
"N900_RS19760",62,"N900_RS19760"
"N900_RS19895",62,"iron transporter"
"N900_RS20100",62,"Pseudogene_N900_RS20100"
"N900_RS00450",61,"tatA"
"N900_RS00565",61,"yihI"
"N900_RS00575",61,"hemN"
"N900_RS00715",61,"N900_RS00715"
"N900_RS01400",61,"ribulose-phosphate 3-epimerase"
"N900_RS01710",61,"cpdB"
"N900_RS01750",61,"yknY_1"
"N900_RS01760",61,"N900_RS01760"
"N900_RS02265",61,"barA"
"N900_RS02315",61,"inorganic phosphate transporter"
"N900_RS02355",61,"N900_RS02355"
"N900_RS02570",61,"carA"
"N900_RS02725",61,"N900_RS02725"
"N900_RS03240",61,"rnhB"
"N900_RS03340",61,"N900_RS03340"
"N900_RS03775",61,"fliF"
"N900_RS03840",61,"flhB"
"N900_RS03875",61,"yfcl"
"N900_RS03950",61,"pgm_1"
"N900_RS03970",61,"sdhC"
"N900_RS04180",61,"fabG_1"
"N900_RS04240",61,"nhaC"
"N900_RS04405",61,"rlmA"
"N900_RS04730",61,"N900_RS04730"
"N900_RS04950",61,"pilz_2"
"N900_RS05705",61,"tfoY"
"N900_RS05885",61,"N900_RS05885"
"N900_RS06050",61,"response regulator_1"
"N900_RS06140",61,"N900_RS06140"
"N900_RS06260",61,"ATP-binding protein_1"
"N900_RS06460",61,"N900_RS06460"
"N900_RS06605",61,"vcmA"
"N900_RS06675",61,"mobA"
"N900_RS07035",61,"zot"
"N900_RS07400",61,"exonuclease"
"N900_RS07435",61,"diguanylate cyclase_3"
"N900_RS07575",61,"acsA"
"N900_RS07635",61,"mglA"
"N900_RS08315",61,"vancomycin high temperature exclusion protein"
"N900_RS08320",61,"Pseudogene_N900_RS08320"
"N900_RS08405",61,"tdk"
"N900_RS09765",61,"truC"
"N900_RS09835",61,"VC_0872_BLAST"
"N900_RS09965",61,"acfd"
"N900_RS10475",61,"N900_RS10475"
"N900_RS10550",61,"pstS_1"
"N900_RS10555",61,"phoR"
"N900_RS10560",61,"phoB"
"N900_RS10640",61,"pheA"
"N900_RS10960",61,"N900_RS10960"
"N900_RS11445",61,"folP"
"N900_RS11970",61,"mutS"
"N900_RS12310",61,"mutY"
"N900_RS12705",61,"N900_RS12705"
"N900_RS14160",61,"allR"
"N900_RS14350",61,"pstA_2"
"N900_RS14615",61,"rbsD"
"N900_RS14735",61,"cation:proton antiporter"
"N900_RS14890",61,"N900_RS14890"
"N900_RS15010",61,"N900_RS15010"
"N900_RS15270",61,"dacA_2"
"N900_RS15565",61,"N900_RS15565"
"N900_RS15950",61,"N900_RS15950"
"N900_RS16015",61,"type II toxin-antitoxin system death-on-curing family toxin"
"N900_RS16335",61,"terc"
"N900_RS17520",61,"transcription initiation factor TFIIIB"
"N900_RS17550",61,"vesA"
"N900_RS17555",61,"DEAD/DEAH box family ATP-dependent RNA helicase"
"N900_RS17745",61,"N900_RS17745"
"N900_RS18180",61,"VC0395_0300_BLAST"
"N900_RS18325",61,"N900_RS18325"
"N900_RS18565",61,"N900_RS18565"
"N900_RS19160",61,"Pseudogene_N900_RS19160"
"N900_RS19320",61,"Pseudogene_N900_RS19320"
"N900_RS00140",60,"ilvE"
"N900_RS00145",60,"ilvM"
"N900_RS00400",60,"uspA_1"
"N900_RS00605",60,"class I adenylate cyclase"
"N900_RS00960",60,"nfua"
"N900_RS01110",60,"fieF"
"N900_RS01415",60,"ABC transporter substrate-binding protein_8"
"N900_RS01435",60,"aruC"
"N900_RS01495",60,"metal-binding protein"
"N900_RS01675",60,"N900_RS01675"
"N900_RS01820",60,"thiP"
"N900_RS01955",60,"pyrB"
"N900_RS02075",60,"leuD"
"N900_RS02440",60,"recJ"
"N900_RS03095",60,"frsA"
"N900_RS03660",60,"bcp"
"N900_RS04230",60,"yejk"
"N900_RS04665",60,"mhpA"
"N900_RS04690",60,"HAD-IB family hydrolase"
"N900_RS05000",60,"ycgB_BLAST"
"N900_RS05205",60,"nadA"
"N900_RS05275",60,"VF_0530_BLAST"
"N900_RS05355",60,"ATPase AAA"
"N900_RS05720",60,"torR"
"N900_RS05790",60,"metE"
"N900_RS06000",60,"N900_RS06000"
"N900_RS06450",60,"membrane protein_7"
"N900_RS06705",60,"ybiT"
"N900_RS07420",60,"molecular chaperone DnaK"
"N900_RS07455",60,"queC"
"N900_RS08560",60,"hisB"
"N900_RS08730",60,"DNA-binding protein VF530"
"N900_RS08895",60,"A79_1377_BLAST"
"N900_RS08910",60,"decR"
"N900_RS09510",60,"vpsQ"
"N900_RS09590",60,"vpsF"
"N900_RS09745",60,"pomA"
"N900_RS09880",60,"N900_RS09880"
"N900_RS10845",60,"tRNA1(Val) (adenine(37)-N6)-methyltransferase"
"N900_RS10855",60,"prfC"
"N900_RS10910",60,"N900_RS10910"
"N900_RS11025",60,"AAA family ATPase"
"N900_RS11180",60,"N900_RS11180"
"N900_RS11195",60,"N900_RS11195"
"N900_RS11365",60,"ubiV"
"N900_RS12145",60,"pykF"
"N900_RS12280",60,"VC_0458_BLAST"
"N900_RS12635",60,"ligase"
"N900_RS12985",60,"TetR/AcrR family transcriptional regulator_1"
"N900_RS13180",60,"N900_RS13180"
"N900_RS13325",60,"HlyC/CorC family transporter_1"
"N900_RS14085",60,"glgP"
"N900_RS14270",60,"N900_RS14270"
"N900_RS14335",60,"methyl-accepting chemotaxis protein_26"
"N900_RS14470",60,"pncB"
"N900_RS14590",60,"N900_RS14590"
"N900_RS14845",60,"chromosome segregation ATPase_2"
"N900_RS14915",60,"ldhA"
"N900_RS15135",60,"N900_RS15135"
"N900_RS15330",60,"Pseudogene_N900_RS15330"
"N900_RS15845",60,"Pseudogene_N900_RS15845"
"N900_RS16035",60,"GNAT family N-acetyltransferase_10"
"N900_RS16815",60,"N900_RS16815"
"N900_RS16855",60,"glpD"
"N900_RS17115",60,"cytochrome b_2"
"N900_RS17385",60,"rhlE_4"
"N900_RS17590",60,"peptidase_4"
"N900_RS17905",60,"N900_RS17905"
"N900_RS17995",60,"gnd"
"N900_RS18050",60,"chuw"
"N900_RS18835",60,"N900_RS18835"
"N900_RS19785",60,"Pseudogene_N900_RS19785"
"N900_RS00065",59,"recF"
"N900_RS00155",59,"yifb"
"N900_RS00640",59,"yigB"
"N900_RS00830",59,"N900_RS00830"
"N900_RS01140",59,"metB"
"N900_RS01740",59,"N900_RS01740"
"N900_RS01915",59,"mlaD"
"N900_RS02575",59,"carB"
"N900_RS02655",59,"gltB_1"
"N900_RS02830",59,"ygjH"
"N900_RS03330",59,"purM"
"N900_RS03730",59,"flaB"
"N900_RS03825",59,"fliP"
"N900_RS04055",59,"yecM"
"N900_RS04350",59,"holB"
"N900_RS04900",59,"N900_RS04900"
"N900_RS05150",59,"cydA"
"N900_RS05155",59,"cydB_1"
"N900_RS05310",59,"N900_RS05310"
"N900_RS05320",59,"N900_RS05320"
"N900_RS05395",59,"tape measure protein"
"N900_RS05595",59,"BamA/TamA family outer membrane protein"
"N900_RS05695",59,"N900_RS05695"
"N900_RS05765",59,"N900_RS05765"
"N900_RS06045",59,"vieA"
"N900_RS06580",59,"exbd"
"N900_RS06745",59,"fdhB1"
"N900_RS06770",59,"aroH"
"N900_RS07245",59,"methyl-accepting chemotaxis protein_9"
"N900_RS07495",59,"ycca"
"N900_RS07875",59,"sarZ_1"
"N900_RS08390",59,"trpB"
"N900_RS08430",59,"ATP-dependent Zn protease"
"N900_RS08575",59,"hisG"
"N900_RS08715",59,"lktB_1"
"N900_RS08745",59,"pta"
"N900_RS08940",59,"recR"
"N900_RS09195",59,"ribonuclease T"
"N900_RS09535",59,"vpsL"
"N900_RS09555",59,"N900_RS09555"
"N900_RS09565",59,"glycosyltransferase"
"N900_RS09670",59,"metN"
"N900_RS09705",59,"N900_RS09705"
"N900_RS09875",59,"abgT_2"
"N900_RS10245",59,"DOPA 4,5-dioxygenase"
"N900_RS10255",59,"dadA1"
"N900_RS10395",59,"ndk"
"N900_RS11595",59,"iron ABC transporter permease"
"N900_RS11685",59,"yadG"
"N900_RS12455",59,"C4-dicarboxylate ABC transporter substrate-binding protein_1"
"N900_RS12840",59,"fkpA"
"N900_RS13595",59,"lpxN"
"N900_RS13685",59,"ggt"
"N900_RS14090",59,"malQ"
"N900_RS14140",59,"nadC_2"
"N900_RS14170",59,"methyl-accepting chemotaxis protein_28"
"N900_RS14255",59,"N900_RS14255"
"N900_RS14465",59,"NUDIX hydrolase_1"
"N900_RS14565",59,"vasH"
"N900_RS14680",59,"spindolin"
"N900_RS15075",59,"siderophore ABC transporter substrate-binding protein"
"N900_RS15400",59,"ygfF"
"N900_RS15615",59,"N900_RS15615"
"N900_RS15645",59,"N900_RS15645"
"N900_RS15685",59,"parE1"
"N900_RS15880",59,"hemagglutinin"
"N900_RS16380",59,"sensor domain-containing diguanylate cyclase_4"
"N900_RS16440",59,"TraF"
"N900_RS16450",59,"yciH"
"N900_RS16610",59,"pbfA_BLAST"
"N900_RS16700",59,"TonB-dependent receptor_2"
"N900_RS17170",59,"modA"
"N900_RS17410",59,"galE"
"N900_RS17600",59,"speB"
"N900_RS17705",59,"HlyC/CorC family transporter_2"
"N900_RS17715",59,"luxG"
"N900_RS17800",59,"malS"
"N900_RS18085",59,"TetR/AcrR family transcriptional regulator_5"
"N900_RS18530",59,"N900_RS18530"
"N900_RS18655",59,"polymer-forming cytoskeletal protein"
"N900_RS18695",59,"N900_RS18695"
"N900_RS19240",59,"N900_RS19240"
"N900_RS19965",59,"Pseudogene_N900_RS19965"
"N900_RS00175",58,"ccoG"
"N900_RS00345",58,"thiG"
"N900_RS01045",58,"narL"
"N900_RS01070",58,"aspA"
"N900_RS01190",58,"rraA"
"N900_RS01765",58,"ytfj"
"N900_RS01815",58,"thiB"
"N900_RS01865",58,"rpoN"
"N900_RS02070",58,"N900_RS02070"
"N900_RS02305",58,"gspb"
"N900_RS02380",58,"yacG"
"N900_RS02425",58,"fldB"
"N900_RS02445",58,"yfkN"
"N900_RS02610",58,"hdfR_1"
"N900_RS02670",58,"arcB"
"N900_RS02890",58,"recD"
"N900_RS03070",58,"rimK"
"N900_RS03130",58,"ribBA"
"N900_RS03320",58,"yafJ"
"N900_RS03470",58,"flgE"
"N900_RS03640",58,"bepA_1"
"N900_RS04000",58,"sucC"
"N900_RS04290",58,"yceF"
"N900_RS04370",58,"N900_RS04370"
"N900_RS04795",58,"ppiD"
"N900_RS05030",58,"methyl-accepting chemotaxis protein_7"
"N900_RS05220",58,"alae"
"N900_RS05390",58,"N900_RS05390"
"N900_RS05590",58,"N900_RS05590"
"N900_RS05870",58,"N900_RS05870"
"N900_RS05935",58,"ttgG"
"N900_RS06175",58,"argD"
"N900_RS06225",58,"LysR family transcriptional regulator_5"
"N900_RS06760",58,"cobB"
"N900_RS06845",58,"pyrD"
"N900_RS06885",58,"ATP-dependent protease LA-related protein"
"N900_RS06895",58,"N900_RS06895"
"N900_RS06980",58,"DNA-binding protein"
"N900_RS07085",58,"histidine kinase"
"N900_RS07230",58,"tssI_1"
"N900_RS07570",58,"GNAT family N-acetyltransferase_4"
"N900_RS07620",58,"N900_RS07620"
"N900_RS07645",58,"mglB"
"N900_RS08205",58,"yeiP"
"N900_RS08785",58,"rcsC_5"
"N900_RS08795",58,"rssB_2"
"N900_RS08925",58,"ycik"
"N900_RS08995",58,"Pseudogene_N900_RS08995"
"N900_RS09185",58,"motY"
"N900_RS10040",58,"tcpQ"
"N900_RS10055",58,"tcpH"
"N900_RS10135",58,"N900_RS10135"
"N900_RS10620",58,"pgeF"
"N900_RS10985",58,"N900_RS10985"
"N900_RS11170",58,"pglX"
"N900_RS11205",58,"N900_RS11205"
"N900_RS11785",58,"degq"
"N900_RS11985",58,"pcm"
"N900_RS12235",58,"VC_0467_BLAST"
"N900_RS12500",58,"N900_RS12500"
"N900_RS12745",58,"pgi"
"N900_RS13215",58,"prmA"
"N900_RS13365",58,"wbeW"
"N900_RS13575",58,"methyl-accepting chemotaxis protein_10"
"N900_RS13605",58,"rph"
"N900_RS13660",58,"ABC transporter ATP-binding protein_1"
"N900_RS14015",58,"soj_2"
"N900_RS14145",58,"VC_A0026_BLAST"
