"Gene","Time","Space","logFC","timeNumber","Time_idx","Space_idx"
"N900_RS01210","1h","st",0.25603,1,1,1
"N900_RS01215","1h","st",0.12421,1,1,1
"N900_RS01220","1h","st",0.91463,1,1,1
"N900_RS01235","1h","st",-0.28707,1,1,1
"N900_RS01240","1h","st",0.86863,1,1,1
"N900_RS01245","1h","st",-0.30646,1,1,1
"N900_RS01250","1h","st",0.97126,1,1,1
"N900_RS01255","1h","st",0.60461,1,1,1
"N900_RS01260","1h","st",1.2852,1,1,1
"N900_RS01265","1h","st",0.72922,1,1,1
"N900_RS01270","1h","st",-0.049876,1,1,1
"N900_RS01275","1h","st",-0.062828,1,1,1
"N900_RS01280","1h","st",1.207,1,1,1
"N900_RS01285","1h","st",2.7303,1,1,1
"N900_RS01290","1h","st",3.7434,1,1,1
"N900_RS01295","1h","st",0.99782,1,1,1
"N900_RS01300","1h","st",0.29311,1,1,1
"N900_RS01305","1h","st",1.6803,1,1,1
"N900_RS01310","1h","st",0.52399,1,1,1
"N900_RS01315","1h","st",3.3963,1,1,1
"N900_RS01320","1h","st",-1.0504,1,1,1
"N900_RS01325","1h","st",-0.17467,1,1,1
"N900_RS01330","1h","st",1.7194,1,1,1
"N900_RS01335","1h","st",2.0546,1,1,1
"N900_RS01340","1h","st",0.18233,1,1,1
"N900_RS01345","1h","st",0.68535,1,1,1
"N900_RS01355","1h","st",3.4947,1,1,1
"N900_RS01360","1h","st",-0.41744,1,1,1
"N900_RS01370","1h","st",0.28227,1,1,1
"N900_RS01375","1h","st",3.0992,1,1,1
"N900_RS01380","1h","st",0.44255,1,1,1
"N900_RS01385","1h","st",-0.52628,1,1,1
"N900_RS01390","1h","st",-0.46449,1,1,1
"N900_RS01400","1h","st",1.525,1,1,1
"N900_RS01405","1h","st",0.96043,1,1,1
"N900_RS01415","1h","st",0.98439,1,1,1
"N900_RS01420","1h","st",3.4995,1,1,1
"N900_RS01425","1h","st",-1.1205,1,1,1
"N900_RS01430","1h","st",2.9963,1,1,1
"N900_RS01435","1h","st",-0.39968,1,1,1
"N900_RS01440","1h","st",1.9979,1,1,1
"N900_RS01445","1h","st",-0.52448,1,1,1
"N900_RS01450","1h","st",-0.46727,1,1,1
"N900_RS01455","1h","st",3.7261,1,1,1
"N900_RS01460","1h","st",-0.6368,1,1,1
"N900_RS01465","1h","st",5.4891,1,1,1
"N900_RS01470","1h","st",-1.279,1,1,1
"N900_RS01475","1h","st",3.5838,1,1,1
"N900_RS01480","1h","st",3.4724,1,1,1
"N900_RS01485","1h","st",2.5967,1,1,1
"N900_RS01490","1h","st",1.9593,1,1,1
"N900_RS01495","1h","st",0.51851,1,1,1
"N900_RS01500","1h","st",5.563,1,1,1
"N900_RS01505","1h","st",-0.18348,1,1,1
"N900_RS01515","1h","st",-1.5093,1,1,1
"N900_RS01520","1h","st",2.4122,1,1,1
"N900_RS01525","1h","st",-0.38872,1,1,1
"N900_RS01530","1h","st",-0.19543,1,1,1
"N900_RS01675","1h","st",-0.54824,1,1,1
"N900_RS01680","1h","st",-0.54423,1,1,1
"N900_RS01685","1h","st",-0.71638,1,1,1
"N900_RS01690","1h","st",0.74197,1,1,1
"N900_RS01695","1h","st",0.38703,1,1,1
"N900_RS01700","1h","st",0.42502,1,1,1
"N900_RS01705","1h","st",-0.77973,1,1,1
"N900_RS01710","1h","st",0.099349,1,1,1
"N900_RS01715","1h","st",-0.28587,1,1,1
"N900_RS01720","1h","st",3.5426,1,1,1
"N900_RS01725","1h","st",1.2016,1,1,1
"N900_RS01730","1h","st",-0.49242,1,1,1
"N900_RS01735","1h","st",0.3166,1,1,1
"N900_RS01740","1h","st",-0.41089,1,1,1
"N900_RS01745","1h","st",0.42471,1,1,1
"N900_RS01750","1h","st",3.0924,1,1,1
"N900_RS01755","1h","st",1.0673,1,1,1
"N900_RS01760","1h","st",-0.39614,1,1,1
"N900_RS01765","1h","st",-0.19004,1,1,1
"N900_RS01770","1h","st",0.12106,1,1,1
"N900_RS01775","1h","st",-1.0316,1,1,1
"N900_RS01780","1h","st",-0.93111,1,1,1
"N900_RS01785","1h","st",2.538,1,1,1
"N900_RS01795","1h","st",4.7527,1,1,1
"N900_RS01800","1h","st",1.1097,1,1,1
"N900_RS01805","1h","st",-0.26045,1,1,1
"N900_RS01815","1h","st",1.6237,1,1,1
"N900_RS01820","1h","st",-0.95841,1,1,1
"N900_RS01825","1h","st",-0.26676,1,1,1
"N900_RS01830","1h","st",1.603,1,1,1
"N900_RS01835","1h","st",2.5902,1,1,1
"N900_RS01840","1h","st",1.3793,1,1,1
"N900_RS01845","1h","st",5.179,1,1,1
"N900_RS01850","1h","st",0.50402,1,1,1
